job_id,job_name,job_started_at,job_completed_at,job_html_url,step_number,step_name,step_status,step_conclusion,step_started_at,step_completed_at,step_started_at_dt,step_completed_at_dt,duration_seconds
58821251310,call-min-flutter-test / test,2025-12-23T19:15:01Z,2025-12-23T19:17:19Z,https://github.com/bluefireteam/audioplayers/actions/runs/20469493769/job/58821251310,8,Run melos run test,completed,skipped,2025-12-23T19:17:17Z,2025-12-23T19:17:17Z,2025-12-23 19:17:17+00:00,2025-12-23 19:17:17+00:00,0.0
58821251310,call-min-flutter-test / test,2025-12-23T19:15:01Z,2025-12-23T19:17:19Z,https://github.com/bluefireteam/audioplayers/actions/runs/20469493769/job/58821251310,9,Lint Code Base,completed,skipped,2025-12-23T19:17:17Z,2025-12-23T19:17:17Z,2025-12-23 19:17:17+00:00,2025-12-23 19:17:17+00:00,0.0
58821251310,call-min-flutter-test / test,2025-12-23T19:15:01Z,2025-12-23T19:17:19Z,https://github.com/bluefireteam/audioplayers/actions/runs/20469493769/job/58821251310,10,Lint Swift,completed,skipped,2025-12-23T19:17:17Z,2025-12-23T19:17:17Z,2025-12-23 19:17:17+00:00,2025-12-23 19:17:17+00:00,0.0
58821251310,call-min-flutter-test / test,2025-12-23T19:15:01Z,2025-12-23T19:17:19Z,https://github.com/bluefireteam/audioplayers/actions/runs/20469493769/job/58821251310,19,Post Run subosito/flutter-action@v2,completed,success,2025-12-23T19:17:17Z,2025-12-23T19:17:17Z,2025-12-23 19:17:17+00:00,2025-12-23 19:17:17+00:00,0.0
58821251310,call-min-flutter-test / test,2025-12-23T19:15:01Z,2025-12-23T19:17:19Z,https://github.com/bluefireteam/audioplayers/actions/runs/20469493769/job/58821251310,20,Post Run actions/checkout@v4,completed,success,2025-12-23T19:17:17Z,2025-12-23T19:17:17Z,2025-12-23 19:17:17+00:00,2025-12-23 19:17:17+00:00,0.0
58821251310,call-min-flutter-test / test,2025-12-23T19:15:01Z,2025-12-23T19:17:19Z,https://github.com/bluefireteam/audioplayers/actions/runs/20469493769/job/58821251310,21,Complete job,completed,success,2025-12-23T19:17:17Z,2025-12-23T19:17:17Z,2025-12-23 19:17:17+00:00,2025-12-23 19:17:17+00:00,0.0
58821251357,call-min-flutter-test / windows,2025-12-23T19:15:00Z,2025-12-23T19:45:12Z,https://github.com/bluefireteam/audioplayers/actions/runs/20469493769/job/58821251357,9,Run Flutter integration tests,completed,cancelled,2025-12-23T19:17:19Z,2025-12-23T19:45:08Z,2025-12-23 19:17:19+00:00,2025-12-23 19:45:08+00:00,1669.0
58821251298,call-min-flutter-test / ios,2025-12-23T19:17:21Z,2025-12-23T19:34:21Z,https://github.com/bluefireteam/audioplayers/actions/runs/20469493769/job/58821251298,1,Set up job,completed,success,2025-12-23T19:17:22Z,2025-12-23T19:17:26Z,2025-12-23 19:17:22+00:00,2025-12-23 19:17:26+00:00,4.0
58821251291,call-test / android-min,2025-12-23T19:15:01Z,2025-12-23T19:27:00Z,https://github.com/bluefireteam/audioplayers/actions/runs/20469493769/job/58821251291,6,Run Flutter integration tests,completed,failure,2025-12-23T19:17:25Z,2025-12-23T19:26:58Z,2025-12-23 19:17:25+00:00,2025-12-23 19:26:58+00:00,573.0
58821251298,call-min-flutter-test / ios,2025-12-23T19:17:21Z,2025-12-23T19:34:21Z,https://github.com/bluefireteam/audioplayers/actions/runs/20469493769/job/58821251298,2,Run actions/checkout@v4,completed,success,2025-12-23T19:17:26Z,2025-12-23T19:17:28Z,2025-12-23 19:17:26+00:00,2025-12-23 19:17:28+00:00,2.0
58821251298,call-min-flutter-test / ios,2025-12-23T19:17:21Z,2025-12-23T19:34:21Z,https://github.com/bluefireteam/audioplayers/actions/runs/20469493769/job/58821251298,3,Run subosito/flutter-action@v2,completed,success,2025-12-23T19:17:28Z,2025-12-23T19:18:28Z,2025-12-23 19:17:28+00:00,2025-12-23 19:18:28+00:00,60.0
58821251354,call-test / windows,2025-12-23T19:18:07Z,2025-12-23T19:48:19Z,https://github.com/bluefireteam/audioplayers/actions/runs/20469493769/job/58821251354,1,Set up job,completed,success,2025-12-23T19:18:08Z,2025-12-23T19:18:12Z,2025-12-23 19:18:08+00:00,2025-12-23 19:18:12+00:00,4.0
58821251354,call-test / windows,2025-12-23T19:18:07Z,2025-12-23T19:48:19Z,https://github.com/bluefireteam/audioplayers/actions/runs/20469493769/job/58821251354,2,Run actions/checkout@v4,completed,success,2025-12-23T19:18:12Z,2025-12-23T19:18:17Z,2025-12-23 19:18:12+00:00,2025-12-23 19:18:17+00:00,5.0
58821251354,call-test / windows,2025-12-23T19:18:07Z,2025-12-23T19:48:19Z,https://github.com/bluefireteam/audioplayers/actions/runs/20469493769/job/58821251354,3,Run subosito/flutter-action@v2,completed,success,2025-12-23T19:18:17Z,2025-12-23T19:20:11Z,2025-12-23 19:18:17+00:00,2025-12-23 19:20:11+00:00,114.0
58821251298,call-min-flutter-test / ios,2025-12-23T19:17:21Z,2025-12-23T19:34:21Z,https://github.com/bluefireteam/audioplayers/actions/runs/20469493769/job/58821251298,4,Run flutter config --enable-swift-package-manager,completed,success,2025-12-23T19:18:28Z,2025-12-23T19:18:28Z,2025-12-23 19:18:28+00:00,2025-12-23 19:18:28+00:00,0.0
58821251298,call-min-flutter-test / ios,2025-12-23T19:17:21Z,2025-12-23T19:34:21Z,https://github.com/bluefireteam/audioplayers/actions/runs/20469493769/job/58821251298,5,Run bluefireteam/melos-action@main,completed,success,2025-12-23T19:18:28Z,2025-12-23T19:18:45Z,2025-12-23 19:18:28+00:00,2025-12-23 19:18:45+00:00,17.0
58821251288,call-test / android-exo,2025-12-23T19:18:43Z,2025-12-23T19:32:00Z,https://github.com/bluefireteam/audioplayers/actions/runs/20469493769/job/58821251288,1,Set up job,completed,success,2025-12-23T19:18:44Z,2025-12-23T19:18:47Z,2025-12-23 19:18:44+00:00,2025-12-23 19:18:47+00:00,3.0
58821251298,call-min-flutter-test / ios,2025-12-23T19:17:21Z,2025-12-23T19:34:21Z,https://github.com/bluefireteam/audioplayers/actions/runs/20469493769/job/58821251298,6,Run Flutter integration tests,completed,failure,2025-12-23T19:18:45Z,2025-12-23T19:34:10Z,2025-12-23 19:18:45+00:00,2025-12-23 19:34:10+00:00,925.0
58821251288,call-test / android-exo,2025-12-23T19:18:43Z,2025-12-23T19:32:00Z,https://github.com/bluefireteam/audioplayers/actions/runs/20469493769/job/58821251288,2,Run actions/checkout@v4,completed,success,2025-12-23T19:18:47Z,2025-12-23T19:18:48Z,2025-12-23 19:18:47+00:00,2025-12-23 19:18:48+00:00,1.0
58821251288,call-test / android-exo,2025-12-23T19:18:43Z,2025-12-23T19:32:00Z,https://github.com/bluefireteam/audioplayers/actions/runs/20469493769/job/58821251288,3,Run subosito/flutter-action@v2,completed,success,2025-12-23T19:18:48Z,2025-12-23T19:19:46Z,2025-12-23 19:18:48+00:00,2025-12-23 19:19:46+00:00,58.0
58821251288,call-test / android-exo,2025-12-23T19:18:43Z,2025-12-23T19:32:00Z,https://github.com/bluefireteam/audioplayers/actions/runs/20469493769/job/58821251288,4,Override endorsed plugin with audioplayers_android_exo,completed,success,2025-12-23T19:19:46Z,2025-12-23T19:19:51Z,2025-12-23 19:19:46+00:00,2025-12-23 19:19:51+00:00,5.0
58821251288,call-test / android-exo,2025-12-23T19:18:43Z,2025-12-23T19:32:00Z,https://github.com/bluefireteam/audioplayers/actions/runs/20469493769/job/58821251288,5,Run bluefireteam/melos-action@v3,completed,success,2025-12-23T19:19:51Z,2025-12-23T19:20:00Z,2025-12-23 19:19:51+00:00,2025-12-23 19:20:00+00:00,9.0
