repo,style,start,end,duration_days,changes,changes_per_100d
EvanRespaut__Equate,Emu_Custom,2017-01-14T18:28:19-05:00,2025-08-10T23:59:59+00:00,3130.021990740741,0,0.0
EventFahrplan__EventFahrplan,Emu_Community,2022-02-14T07:50:25+01:00,2025-08-10T23:59:59+00:00,1273.7149768518518,0,0.0
evilcorpltd__aTox,Emu_Community,2020-06-08T00:54:35+02:00,2025-08-10T23:59:59+00:00,1890.0454166666666,0,0.0
f-arslan__GptMap,Emu_Community,2024-02-17T20:55:35+03:00,2025-08-10T23:59:59+00:00,540.2530555555555,0,0.0
FabianTerhorst__Floppy,Emu_Custom,2016-09-22T17:16:58+02:00,2025-08-10T23:59:59+00:00,3244.3632060185187,0,0.0
FabianTerhorst__Iron,Emu_Custom,2015-12-27T01:25:42+01:00,2025-08-10T23:59:59+00:00,3514.9821412037036,0,0.0
Faltenreich__Diaguard,Emu_Community,2023-10-05T20:42:37+02:00,2025-08-10T23:59:59+00:00,675.2203935185186,0,0.0
federicoiosue__Omni-Notes,Emu_Custom,2015-02-17T01:13:10+01:00,2020-07-28T12:14:26+02:00,1988.4175462962962,0,0.0
federicoiosue__Omni-Notes,Emu_Community,2020-07-28T12:14:26+02:00,2025-08-10T23:59:59+00:00,1839.573298611111,0,0.0
fewlaps__flone-android,Emu_Custom,2015-09-16T00:44:43+02:00,2025-08-10T23:59:59+00:00,3617.0522685185183,0,0.0
firebase__FirebaseUI-Flutter,Emu_Custom,2023-10-05T14:29:48+02:00,2023-11-10T21:29:10+01:00,36.33289351851852,0,0.0
firebase__FirebaseUI-Flutter,Emu_Community,2023-11-10T21:29:10+01:00,2025-08-10T23:59:59+00:00,639.146400462963,0,0.0
Five-Prayers__five-prayers-android,Emu_Community,2021-03-30T21:58:21+02:00,2025-08-10T23:59:59+00:00,1594.167800925926,0,0.0
flauschtrud__broccoli,ThirdParty,2020-03-02T20:52:37+01:00,2023-01-16T14:37:25+01:00,1049.7394444444444,0,0.0
flauschtrud__broccoli,GMD,2023-01-16T14:37:25+01:00,2025-08-10T23:59:59+00:00,937.432337962963,0,0.0
flet-dev__serious-python,Emu_Custom,2023-10-31T16:01:48-07:00,2025-08-10T23:59:59+00:00,649.0404050925926,0,0.0
FliegendeWurst__TriliumDroid,GMD,2025-01-16T21:52:40+01:00,2025-08-10T23:59:59+00:00,206.13008101851852,0,0.0
fluttercommunity__flutter_workmanager,Emu_Community,2021-07-26T09:28:00+01:00,2025-08-10T23:59:59+00:00,1476.647210648148,0,0.0
fornewid__naver-map-compose,Emu_Community,2022-05-17T22:27:50+09:00,2025-08-10T23:59:59+00:00,1181.4389930555556,0,0.0
fossasia__loklak_wok_android,Emu_Custom,2017-08-30T09:50:40+02:00,2025-08-10T23:59:59+00:00,2902.673136574074,0,0.0
