file,job,step_name,matched_keywords,detection_method,full_step_json
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\EduFdezSoy.Manga2Kindle.Travis_CI..travis.yml,full_file_scan,,['adb'],full_file_scan,Matched by full file scan
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\eduvpn.android.GitHub_Actions.check.yaml,build,AVD cache,['adb'],standard,"{
  ""name"": ""AVD cache"",
  ""uses"": ""actions/cache@v3"",
  ""id"": ""avd-cache"",
  ""with"": {
    ""path"": ""~/.android/avd/*\n~/.android/adb*\n"",
    ""key"": ""avd-${{ matrix.api-level }}""
  }
}"
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\eduvpn.android.GitHub_Actions.check.yaml,build,Create AVD and generate snapshot for caching,"['emulator', 'create avd', 'android-emulator']",standard,"{
  ""name"": ""Create AVD and generate snapshot for caching"",
  ""if"": ""steps.avd-cache.outputs.cache-hit != 'true'"",
  ""uses"": ""reactivecircus/android-emulator-runner@v2"",
  ""with"": {
    ""api-level"": ""${{ matrix.api-level }}"",
    ""arch"": ""x86_64"",
    ""force-avd-creation"": false,
    ""emulator-options"": ""-no-window -gpu swiftshader_indirect -noaudio -no-boot-anim -camera-back none"",
    ""disable-animations"": false,
    ""script"": ""echo \""Generated AVD snapshot for caching.\""""
  }
}"
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\eduvpn.android.GitHub_Actions.check.yaml,build,Run tests,"['emulator', 'instrumentation', 'android-emulator']",standard,"{
  ""name"": ""Run tests"",
  ""uses"": ""reactivecircus/android-emulator-runner@v2"",
  ""with"": {
    ""api-level"": ""${{ matrix.api-level }}"",
    ""arch"": ""x86_64"",
    ""force-avd-creation"": false,
    ""emulator-options"": ""-no-snapshot-save -no-window -gpu swiftshader_indirect -noaudio -no-boot-anim -camera-back none"",
    ""disable-animations"": true,
    ""script"": ""./gradlew :app:connectedBasicDebugAndroidTest -Pandroid.testInstrumentationRunnerArguments.package=nl.eduvpn.app.service $SKIP_ICS_OPENVPN_BUILD""
  }
}"
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\eidottermihi.rpicheck.Travis_CI..travis.yml,full_file_scan,,"['emulator', 'avdmanager', 'adb', 'create avd']",full_file_scan,Matched by full file scan
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\emschu.snmp-cockpit.GitLab..gitlab-ci.yml,full_file_scan,,"['emulator', 'avdmanager', 'adb', 'instrumentation', 'create avd', 'wait-for-device']",full_file_scan,Matched by full file scan
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\envelop-app.envelop-android.GitHub_Actions.test.yml,test,Run instrumentation tests with Firebase Test Lab,['instrumentation'],standard,"{
  ""name"": ""Run instrumentation tests with Firebase Test Lab"",
  ""run"": ""sudo gcloud firebase test android run \\\n  --app app/build/outputs/apk/debug/app-debug.apk \\\n  --test app/build/outputs/apk/androidTest/debug/app-debug-androidTest.apk \\\n  --device model=Pixel2,version=28,locale=en,orientation=portrait \\\n  --directories-to-pull /sdcard \\\n  --environment-variables coverage=true,coverageFile=\""/sdcard/coverage.ec\"" \\\n  --results-bucket cloud-test-${{ secrets.GOOGLE_PROJECT_ID }}\n""
}"
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\ericktijerou.jetpuppy.GitHub_Actions.Check.yaml,test,Run instrumentation tests,"['emulator', 'instrumentation', 'android-emulator']",standard,"{
  ""name"": ""Run instrumentation tests"",
  ""uses"": ""reactivecircus/android-emulator-runner@v2"",
  ""with"": {
    ""api-level"": ""${{ matrix.api-level }}"",
    ""arch"": ""x86"",
    ""disable-animations"": true,
    ""script"": ""./gradlew connectedCheck --stacktrace""
  }
}"
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\eriknellessen.Virtual-Keycard.GitLab..gitlab-ci.yml,full_file_scan,,['emulator'],full_file_scan,Matched by full file scan
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\euphony-io.euphony-hub-collector.GitHub_Actions.android_build.yml,ui-testing,Run UI Tests,"['emulator', 'android-emulator']",standard,"{
  ""name"": ""Run UI Tests"",
  ""uses"": ""reactivecircus/android-emulator-runner@v2"",
  ""with"": {
    ""emulator-build"": 7425822,
    ""api-level"": ""${{ matrix.api-level }}"",
    ""arch"": ""x86_64"",
    ""script"": ""./gradlew connectedDebugAndroidTest""
  }
}"
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\EvanRespaut.Equate.CircleCI.circle.yml,full_file_scan,,"['emulator', 'adb']",full_file_scan,Matched by full file scan
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\EventFahrplan.EventFahrplan.GitHub_Actions.build.yaml,build,Unit Tests,"['emulator', 'android-emulator']",standard,"{
  ""name"": ""Unit Tests"",
  ""uses"": ""reactivecircus/android-emulator-runner@v2"",
  ""with"": {
    ""api-level"": 21,
    ""script"": ""./gradlew testCccamp2023DebugUnitTest assembleCccamp2023Debug lintAnalyzeCccamp2023Debug""
  }
}"
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\EventFahrplan.EventFahrplan.GitHub_Actions.build.yaml,android_tests,Instrumentation Tests,"['emulator', 'instrumentation', 'android-emulator']",standard,"{
  ""name"": ""Instrumentation Tests"",
  ""uses"": ""reactivecircus/android-emulator-runner@v2"",
  ""with"": {
    ""api-level"": 21,
    ""script"": ""./gradlew connectedCccamp2023DebugAndroidTest""
  }
}"
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\evilcorpltd.aTox.GitHub_Actions.ci.yaml,gradle,Run Android tests,"['emulator', 'adb', 'android-emulator']",standard,"{
  ""name"": ""Run Android tests"",
  ""if"": ""startsWith(matrix.os, 'macos')"",
  ""uses"": ""reactivecircus/android-emulator-runner@v2"",
  ""with"": {
    ""api-level"": 31,
    ""arch"": ""x86_64"",
    ""script"": ""./gradlew connectedCheck || { adb logcat -d; exit 1; }""
  }
}"
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\ezhome.Android-RxFirebase.CircleCI.circle.yml,full_file_scan,,['adb'],full_file_scan,Matched by full file scan
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\F4uzan.HgLauncher.Travis_CI..travis.yml,full_file_scan,,"['emulator', 'adb', 'create avd']",full_file_scan,Matched by full file scan
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\fabirt.debty-v2.CircleCI.config.yml,android-test,,['emulator'],standard,"{
  ""android/start-emulator-and-run-tests"": {
    ""test-command"": ""./gradlew connectedDebugAndroidTest"",
    ""system-image"": ""system-images;android-30;google_apis;x86""
  }
}"
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\faldez.shachi.GitHub_Actions.test.yml,test,Android Emulator Runner,"['emulator', 'android-emulator']",standard,"{
  ""name"": ""Android Emulator Runner"",
  ""uses"": ""ReactiveCircus/android-emulator-runner@v2.23.0"",
  ""with"": {
    ""api-level"": 31,
    ""target"": ""playstore"",
    ""arch"": ""x86_64"",
    ""script"": ""./gradlew connectedCheck --exclude-task json:test --exclude-task app:processDebugGoogleServices --exclude-task app:processReleaseGoogleServices""
  }
}"
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\fayaz07.Todo-compose.GitHub_Actions.ui_tests.yml,uiTests,run tests,"['emulator', 'android-emulator']",standard,"{
  ""name"": ""run tests"",
  ""uses"": ""reactivecircus/android-emulator-runner@v2"",
  ""with"": {
    ""api-level"": 29,
    ""script"": ""./gradlew connectedAndroidTest""
  }
}"
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\Fbada006.Moveery.Travis_CI..travis.yml,full_file_scan,,"['emulator', 'adb', 'create avd']",full_file_scan,Matched by full file scan
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\federicoiosue.Omni-Notes.GitHub_Actions.main.yml,build-and-test,Run unit/instrumentation tests and coverage generation,"['emulator', 'instrumentation', 'android-emulator']",standard,"{
  ""name"": ""Run unit/instrumentation tests and coverage generation"",
  ""uses"": ""reactivecircus/android-emulator-runner@v2"",
  ""with"": {
    ""api-level"": 30,
    ""target"": ""google_apis"",
    ""arch"": ""x86_64"",
    ""force-avd-creation"": false,
    ""emulator-options"": ""-no-window -gpu swiftshader_indirect -no-snapshot -noaudio -no-boot-anim"",
    ""disable-animations"": true,
    ""script"": ""./gradlew -Pandroid.testInstrumentationRunnerArguments.notAnnotation=androidx.test.filters.FlakyTest,androidx.test.filters.LargeTest jacocoTestReport --stacktrace""
  }
}"
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\felipehjcosta.marvel-app.CircleCI.config.yml,test_instrumented,,['instrumentation'],standard,"{
  ""run"": {
    ""name"": ""Run instrumented test on Firebase Test Lab"",
    ""command"": ""gcloud firebase test android run --type instrumentation --app apk/build/outputs/apk/debug/apk-debug.apk --test apk/build/outputs/apk/androidTest/debug/apk-debug-androidTest.apk --device model=sailfish,version=21,locale=en_US,orientation=portrait --directories-to-pull=/sdcard/tmp --timeout 20m""
  }
}"
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\felipehjcosta.marvel-app.GitHub_Actions.android.yml,instrumentation-test,Run Instrumentation Tests,"['emulator', 'instrumentation', 'android-emulator']",standard,"{
  ""name"": ""Run Instrumentation Tests"",
  ""uses"": ""reactivecircus/android-emulator-runner@v2"",
  ""with"": {
    ""api-level"": 21,
    ""script"": ""./gradlew connectedCheck --console=plain --stacktrace""
  }
}"
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\fewlaps.flone-android.Travis_CI..travis.yml,full_file_scan,,"['emulator', 'adb', 'create avd', 'wait-for-device']",full_file_scan,Matched by full file scan
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\Fic-Spinoff.family-care.Travis_CI..travis.yml,full_file_scan,,"['emulator', 'adb', 'create avd']",full_file_scan,Matched by full file scan
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\floccusaddon.floccus.GitHub_Actions.tests.yml,full_file_scan,,['adb'],full_file_scan,Matched by full file scan
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\frankmorgner.vsmartcard.GitHub_Actions.ci.yml,ccid-ubuntu,,['emulator'],standard,"{
  ""uses"": ""actions/upload-artifact@v2"",
  ""with"": {
    ""name"": ""ccid-emulator"",
    ""path"": ""ccid/ccid-emulator*.tar.gz""
  }
}"
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\frankmorgner.vsmartcard.GitHub_Actions.ci.yml,ACardEmulator-ubuntu,,['emulator'],standard,"{
  ""run"": "".github/build-ACardEmulator.sh""
}"
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\frankmorgner.vsmartcard.GitHub_Actions.ci.yml,ACardEmulator-ubuntu,,['emulator'],standard,"{
  ""uses"": ""actions/upload-artifact@v2"",
  ""with"": {
    ""name"": ""ACardEmulator"",
    ""path"": ""ACardEmulator/app/build/outputs/apk""
  }
}"
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\free-watermark.mobile-app.GitHub_Actions.build-release.yml,generate-screenshots-and-icons,generate screenshots,"['emulator', 'android-emulator']",standard,"{
  ""name"": ""generate screenshots"",
  ""uses"": ""reactivecircus/android-emulator-runner@v2"",
  ""if"": ""${{ needs.check-screenshots-and-icons.outputs.screenshots-count == 'false' }}"",
  ""env"": {
    ""ANDROID_EMULATOR_WAIT_TIME_BEFORE_KILL"": ""${{ vars.ANDROID_EMULATOR_WAIT_TIME_BEFORE_KILL }}""
  },
  ""with"": {
    ""api-level"": 32,
    ""target"": ""google_apis"",
    ""arch"": ""x86_64"",
    ""profile"": ""pixel_4_xl"",
    ""script"": ""make screenshots""
  }
}"
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\freeCodeCamp.mobile.GitHub_Actions.flutter-ci.yml,flutter_test,AVD cache,['adb'],standard,"{
  ""name"": ""AVD cache"",
  ""uses"": ""actions/cache@88522ab9f39a2ea568f7027eddc7d8d8bc9d59c8"",
  ""id"": ""avd-cache"",
  ""with"": {
    ""path"": ""~/.android/avd/*\n~/.android/adb*\n"",
    ""key"": ""avd-31""
  }
}"
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\freeCodeCamp.mobile.GitHub_Actions.flutter-ci.yml,flutter_test,Ceate AVD and generate snapshot for caching,"['emulator', 'android-emulator']",standard,"{
  ""name"": ""Ceate AVD and generate snapshot for caching"",
  ""if"": ""steps.avd-cache.outputs.cache-hit != 'true'"",
  ""uses"": ""reactivecircus/android-emulator-runner@d94c3fbe4fe6a29e4a5ba47c12fb47677c73656b"",
  ""with"": {
    ""api-level"": 31,
    ""target"": ""google_apis"",
    ""arch"": ""x86_64"",
    ""force-avd-creation"": false,
    ""emulator-options"": ""-no-window -gpu swiftshader_indirect -noaudio -no-boot-anim -camera-back none"",
    ""disable-animations"": false,
    ""script"": ""echo \""Generated AVD snapshot for caching.\""""
  }
}"
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\freeCodeCamp.mobile.GitHub_Actions.flutter-ci.yml,flutter_test,Run tests in emulator,"['emulator', 'adb', 'android-emulator']",standard,"{
  ""name"": ""Run tests in emulator"",
  ""uses"": ""reactivecircus/android-emulator-runner@d94c3fbe4fe6a29e4a5ba47c12fb47677c73656b"",
  ""with"": {
    ""api-level"": 31,
    ""target"": ""google_apis"",
    ""arch"": ""x86_64"",
    ""force-avd-creation"": false,
    ""emulator-options"": ""-no-snapshot-save -no-window -gpu swiftshader_indirect -noaudio -no-boot-anim -camera-back none"",
    ""disable-animations"": true,
    ""script"": ""cd mobile-app && if adb shell pm list packages | grep -q org.freecodecamp; then adb uninstall org.freecodecamp; fi && dart integration_test_runner.dart""
  }
}"
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\freeCodeCamp.mobile.GitHub_Actions.flutter-deploy.yml,flutter_deploy,AVD cache,['adb'],standard,"{
  ""name"": ""AVD cache"",
  ""uses"": ""actions/cache@88522ab9f39a2ea568f7027eddc7d8d8bc9d59c8"",
  ""id"": ""avd-cache"",
  ""with"": {
    ""path"": ""~/.android/avd/*\n~/.android/adb*\n"",
    ""key"": ""avd-31""
  }
}"
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\freeCodeCamp.mobile.GitHub_Actions.flutter-deploy.yml,flutter_deploy,Ceate AVD and generate snapshot for caching,"['emulator', 'android-emulator']",standard,"{
  ""name"": ""Ceate AVD and generate snapshot for caching"",
  ""if"": ""steps.avd-cache.outputs.cache-hit != 'true'"",
  ""uses"": ""reactivecircus/android-emulator-runner@d94c3fbe4fe6a29e4a5ba47c12fb47677c73656b"",
  ""with"": {
    ""api-level"": 31,
    ""target"": ""google_apis"",
    ""arch"": ""x86_64"",
    ""force-avd-creation"": false,
    ""emulator-options"": ""-no-window -gpu swiftshader_indirect -noaudio -no-boot-anim -camera-back none"",
    ""disable-animations"": false,
    ""script"": ""echo \""Generated AVD snapshot for caching.\""""
  }
}"
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\freeCodeCamp.mobile.GitHub_Actions.flutter-deploy.yml,flutter_deploy,Run tests in emulator,"['emulator', 'adb', 'android-emulator']",standard,"{
  ""name"": ""Run tests in emulator"",
  ""uses"": ""reactivecircus/android-emulator-runner@d94c3fbe4fe6a29e4a5ba47c12fb47677c73656b"",
  ""with"": {
    ""api-level"": 31,
    ""target"": ""google_apis"",
    ""arch"": ""x86_64"",
    ""force-avd-creation"": false,
    ""emulator-options"": ""-no-snapshot-save -no-window -gpu swiftshader_indirect -noaudio -no-boot-anim -camera-back none"",
    ""disable-animations"": true,
    ""script"": ""cd mobile-app && if adb shell pm list packages | grep -q org.freecodecamp; then adb uninstall org.freecodecamp; fi && dart integration_test_runner.dart""
  }
}"
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\frinder.frinder-app.Travis_CI..travis.yml,full_file_scan,,"['emulator', 'adb', 'create avd']",full_file_scan,Matched by full file scan
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\futurice.freesound-android.Travis_CI..travis.yml,full_file_scan,,['adb'],full_file_scan,Matched by full file scan
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\gbarre.xiaExpressAndroid.Travis_CI..travis.yml,full_file_scan,,"['emulator', 'adb', 'create avd']",full_file_scan,Matched by full file scan
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\Ghini.ghini.pocket.GitLab..gitlab-ci.yml,full_file_scan,,"['emulator', 'adb', 'create avd']",full_file_scan,Matched by full file scan
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\goldy1992.Mp3Player.GitHub_Actions.firebase-testlab-arguments.yml,full_file_scan,,['instrumentation'],full_file_scan,Matched by full file scan
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\goldy1992.Mp3Player.GitHub_Actions.ui-tests-workflow.yml,run-ui-tests,Run firebase tests on gcloud and pull coverage data,['instrumentation'],standard,"{
  ""name"": ""Run firebase tests on gcloud and pull coverage data"",
  ""run"": ""BUCKET_ID=pw30jhrbi15pc-ywxmz0rw1n8wa/2021-01-25_23:18:57.486170_Stvb\necho $BUCKET_ID\nTEST_OUTPUT_FOLDER=${{ github.workspace }}/client\necho $TEST_OUTPUT_FOLDER\ngsutil -m cp -R -U gs://test-lab-$BUCKET_ID/**/sdcard/coverage.ec $TEST_OUTPUT_FOLDER || true\nGCLOUD_OUTPUT_LOG=gcloudLog.txt\ngcloud firebase test android run ${{github.workspace}}/.github/workflows/arguments/firebase-testlab-arguments.yml:client-ui-tests \\\n  --app ${{ github.workspace }}/app/build/outputs/apk/full/debug/app-full-debug.apk \\\n  --test ${{ github.workspace }}/client/build/outputs/apk/androidTest/full/debug/client-full-debug-androidTest.apk \\\n  --type instrumentation \\\n  --app ${{ github.workspace }}/app/build/outputs/apk/full/debug/app-full-debug.apk \\\n  --test ${{ github.workspace }}/client/build/outputs/apk/androidTest/full/debug/client-full-debug-androidTest.apk \\\n  --environment-variables coverage=true,coverageFile=/sdcard/coverage.ec \\\n  --device model=Pixel2,version=29,locale=en,orientation=portrait \\\n  --directories-to-pull /sdcard \\\n  --no-record-video \\\n   | tee $GCLOUD_OUTPUT_LOG\nBUCKET_ID=`cat $GCLOUD_OUTPUT_LOG | sed -n -E 's#^.+test-lab-(.+)/.+#\\1#p'`\n""
}"
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\greenaddress.abcore.Travis_CI..travis.yml,full_file_scan,,"['emulator', 'create avd']",full_file_scan,Matched by full file scan
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\grote.Transportr.GitHub_Actions.build.yml,build,,"['emulator', 'instrumentation', 'android-emulator']",standard,"{
  ""uses"": ""reactivecircus/android-emulator-runner@v2"",
  ""with"": {
    ""api-level"": ""${{ matrix.api-level }}"",
    ""target"": ""default"",
    ""arch"": ""${{ steps.avd-arch.outputs.arch }}"",
    ""profile"": ""Nexus 6"",
    ""script"": ""./gradlew build connectedCheck -PbuildServer -Pandroid.testInstrumentationRunnerArguments.notAnnotation=androidx.test.filters.LargeTest --stacktrace""
  }
}"
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\guardianproject.ObscuraCam.Travis_CI..travis.yml,full_file_scan,,['adb'],full_file_scan,Matched by full file scan
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\guardianproject.ripple.Travis_CI..travis.yml,full_file_scan,,['adb'],full_file_scan,Matched by full file scan
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\guger.MoneyBook.CircleCI.config.yml,android-test,,['emulator'],standard,"{
  ""android/start-emulator-and-run-tests"": {
    ""test-command"": ""./gradlew connectedDebugAndroidTest"",
    ""system-image"": ""<< parameters.system-image >>""
  }
}"
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\GuilhE.OneHotMinute-Compose.GitHub_Actions.Check.yaml,test,Run instrumentation tests,"['emulator', 'instrumentation', 'android-emulator']",standard,"{
  ""name"": ""Run instrumentation tests"",
  ""uses"": ""reactivecircus/android-emulator-runner@v2"",
  ""with"": {
    ""api-level"": ""${{ matrix.api-level }}"",
    ""arch"": ""x86"",
    ""disable-animations"": true,
    ""script"": ""./gradlew connectedCheck --stacktrace""
  }
}"
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\GuilhE.Zoo-Compose.GitHub_Actions.Check.yaml,test,Run instrumentation tests,"['emulator', 'instrumentation', 'android-emulator']",standard,"{
  ""name"": ""Run instrumentation tests"",
  ""uses"": ""reactivecircus/android-emulator-runner@v2"",
  ""with"": {
    ""api-level"": ""${{ matrix.api-level }}"",
    ""arch"": ""x86"",
    ""disable-animations"": true,
    ""script"": ""./gradlew connectedCheck --stacktrace""
  }
}"
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\HadesPTIT.android-dev-challenge-compose-countdown-timer.GitHub_Actions.Check.yaml,test,Run instrumentation tests,"['emulator', 'instrumentation', 'android-emulator']",standard,"{
  ""name"": ""Run instrumentation tests"",
  ""uses"": ""reactivecircus/android-emulator-runner@v2"",
  ""with"": {
    ""api-level"": ""${{ matrix.api-level }}"",
    ""arch"": ""x86"",
    ""disable-animations"": true,
    ""script"": ""./gradlew connectedCheck --stacktrace""
  }
}"
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\HaneetGH.KotlinAndroidBase.GitHub_Actions.blank.yml,build,,"['emulator', 'android-emulator']",standard,"{
  ""uses"": ""reactivecircus/android-emulator-runner@v2"",
  ""with"": {
    ""api-level"": ""${{ matrix.api-level }}"",
    ""target"": ""${{ matrix.target }}"",
    ""arch"": ""x86_64"",
    ""profile"": ""Nexus 6"",
    ""script"": ""./gradlew connectedCheck --stacktrace""
  }
}"
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\hapramp.1Rramp-Android.Travis_CI..travis.yml,full_file_scan,,"['emulator', 'adb', 'create avd']",full_file_scan,Matched by full file scan
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\haroldadmin.MoonShot.GitHub_Actions.ci.yml,ci,Instrumentation Tests,"['emulator', 'instrumentation', 'android-emulator']",standard,"{
  ""name"": ""Instrumentation Tests"",
  ""uses"": ""reactivecircus/android-emulator-runner@v2"",
  ""with"": {
    ""api-level"": 29,
    ""arch"": ""x86"",
    ""script"": ""./gradlew connectedDebugAndroidTest""
  }
}"
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\harshshinde07.Dairy-Management.Travis_CI..travis.yml,full_file_scan,,"['emulator', 'adb', 'create avd']",full_file_scan,Matched by full file scan
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\hash-checker.hash-checker.GitHub_Actions.build.yml,integration_tests,Run Instrumentation tests,"['emulator', 'instrumentation', 'android-emulator']",standard,"{
  ""name"": ""Run Instrumentation tests"",
  ""uses"": ""reactivecircus/android-emulator-runner@v2"",
  ""with"": {
    ""api-level"": 27,
    ""profile"": ""Nexus 6"",
    ""script"": ""./gradlew -Pandroid.testInstrumentationRunnerArguments.class=com.smlnskgmail.jaman.hashchecker.AndroidTestSuite connectedCheck --stacktrace""
  }
}"
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\HitaloM.Termux-App.GitHub_Actions.trigger_library_builds_on_jitpack.yml,trigger-termux-library-builds,Trigger termux library builds on jitpack,['emulator'],standard,"{
  ""name"": ""Trigger termux library builds on jitpack"",
  ""run"": ""sleep 180 # It will take some time for the new tag to be detected by Jitpack\ncurl --max-time 600 --no-progress-meter \""https://jitpack.io/com/termux/termux-app/terminal-emulator/$TERMUX_LIB_VERSION/terminal-emulator-$TERMUX_LIB_VERSION.pom\""\ncurl --max-time 600 --no-progress-meter \""https://jitpack.io/com/termux/termux-app/terminal-view/$TERMUX_LIB_VERSION/terminal-view-$TERMUX_LIB_VERSION.pom\""\ncurl --max-time 600 --no-progress-meter \""https://jitpack.io/com/termux/termux-app/termux-shared/$TERMUX_LIB_VERSION/termux-shared-$TERMUX_LIB_VERSION.pom\""\n""
}"
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\HRVBand.hrv-band.Travis_CI..travis.yml,full_file_scan,,"['emulator', 'adb']",full_file_scan,Matched by full file scan
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\hrydgard.ppsspp.GitHub_Actions.build.yml,build,Upload macOS release,['emulator'],standard,"{
  ""name"": ""Upload macOS release"",
  ""uses"": ""softprops/action-gh-release@v1"",
  ""if"": ""startsWith(github.ref, 'refs/tags/') && runner.os == 'macOS' && matrix.extra == 'test'"",
  ""with"": {
    ""files"": ""ppsspp/*.zip"",
    ""body"": ""PPSSPP is a cross-platform PSP emulator. Visit PPSSPP [official website](https://ppsspp.org) for a [full changelog](https://ppsspp.org/index.html#news) as well as the [downloads section](https://ppsspp.org/downloads.html) for other platforms.\n""
  }
}"
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\ichisadashioko.kanji-recognition-android.GitHub_Actions.android-ci.yml,build,,['emulator'],standard,"{
  ""run"": ""yes | ./cmdline-tools/bin/sdkmanager --sdk_root=ANDROID_SDK_ROOT --no_https --install \""emulator\""""
}"
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\IdeaTrackerPlus.IdeaTrackerPlus.Travis_CI..travis.yml,full_file_scan,,"['emulator', 'adb', 'create avd']",full_file_scan,Matched by full file scan
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\indianpoptart.RadioControl.Travis_CI..travis.yml,full_file_scan,,['adb'],full_file_scan,Matched by full file scan
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\Infomaniak.android-kDrive.GitHub_Actions.android.yml,instrumentation-tests,AVD cache,['adb'],standard,"{
  ""name"": ""AVD cache"",
  ""uses"": ""actions/cache@v3.3.1"",
  ""id"": ""avd-cache"",
  ""with"": {
    ""path"": ""~/.android/avd/*\n~/.android/adb*\n"",
    ""key"": ""avd-${{ matrix.api-level }}""
  }
}"
