file,job,step_name,matched_keywords,detection_method,full_step_json
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\AlexZhukovich.CoffeeDrinksWithJetpackCompose.GitHub_Actions.master-and-pr-workflow.yml,screenshot-test,Screenshot tests,"['emulator', 'instrumentation', 'android-emulator']",standard,"{
  ""name"": ""Screenshot tests"",
  ""uses"": ""reactivecircus/android-emulator-runner@v2"",
  ""with"": {
    ""api-level"": 31,
    ""arch"": ""x86_64"",
    ""profile"": ""pixel"",
    ""target"": ""google_apis"",
    ""sdcard-path-or-size"": ""512M"",
    ""emulator-options"": ""-no-window -gpu swiftshader_indirect -no-snapshot -noaudio -no-boot-anim"",
    ""script"": ""./gradlew executeScreenshotTests -Pandroid.testInstrumentationRunnerArguments.size=medium""
  }
}"
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\AlexZhukovich.MapNotes.CircleCI.config.yml,test_instrumentation,,['instrumentation'],standard,"{
  ""run"": {
    ""name"": ""Run instrumented test on Firebase Test Lab"",
    ""command"": ""gcloud firebase test android run \\\n  --type instrumentation \\\n  --app app/build/outputs/apk/debug/app-debug.apk \\\n  --test app/build/outputs/apk/androidTest/debug/app-debug-androidTest.apk \\\n  --device model=Pixel2,version=28,locale=en_US,orientation=portrait \\\n  --timeout 20m \\\n  --environment-variables coverage=true,coverageFile=/sdcard/coverage.ec --directories-to-pull=/sdcard/\n""
  }
}"
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\amos-flyinn.amos-tub-ws18-proj1.Travis_CI..travis.yml,full_file_scan,,['emulator'],full_file_scan,Matched by full file scan
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\AndBible.and-bible.GitHub_Actions.run-tests.yml,run-instrument-tests,Run instrumentation tests,"['emulator', 'instrumentation', 'android-emulator']",standard,"{
  ""name"": ""Run instrumentation tests"",
  ""uses"": ""reactivecircus/android-emulator-runner@v2"",
  ""with"": {
    ""api-level"": 31,
    ""arch"": ""x86_64"",
    ""disable-animations"": true,
    ""disk-size"": ""1500M"",
    ""heap-size"": ""512M"",
    ""script"": ""./gradlew --console plain connectedStandardGooglePlayDebugAndroidTest""
  }
}"
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\andipabst.vergiss-nix.GitHub_Actions.test.yml,test,Setup Android Emulator,['emulator'],standard,"{
  ""name"": ""Setup Android Emulator"",
  ""run"": ""sdkmanager --list""
}"
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\andipabst.vergiss-nix.GitHub_Actions.test.yml,test,run tests,['emulator'],standard,"{
  ""name"": ""run tests"",
  ""run"": ""./gradlew pixel2api30DebugAndroidTest --no-daemon -Pandroid.testoptions.manageddevices.emulator.gpu=\""swiftshader_indirect\""""
}"
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\AndProx.AndProx.Travis_CI..travis.yml,full_file_scan,,"['emulator', 'adb', 'create avd']",full_file_scan,Matched by full file scan
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\andremion.Hostel.CircleCI.config.yml,test_instrumented,,['instrumentation'],standard,"{
  ""run"": {
    ""name"": ""Run instrumented test on Firebase Test Lab"",
    ""command"": ""gcloud firebase test android run --no-auto-google-login --type instrumentation --app app/build/outputs/apk/mock/debug/app-mock-debug.apk --test app/build/outputs/apk/androidTest/mock/debug/app-mock-debug-androidTest.apk --device model=Nexus6P,version=27,locale=en_US,orientation=portrait --environment-variables coverage=true,coverageFile=/sdcard/coverage.ec --directories-to-pull=/sdcard --timeout 20m""
  }
}"
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\andreynovikov.trekarta.GitHub_Actions.android.yml,test-instrumentation,Execute instrumentation tests,"['emulator', 'instrumentation', 'android-emulator']",standard,"{
  ""name"": ""Execute instrumentation tests"",
  ""uses"": ""reactivecircus/android-emulator-runner@v2"",
  ""with"": {
    ""api-level"": ""${{ matrix.api-level }}"",
    ""target"": ""${{ matrix.target }}"",
    ""script"": ""./gradlew connectedCheck""
  }
}"
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\andriydruk.swift-weather-app.GitHub_Actions.android-core.yml,build,Download Android Emulator,['emulator'],standard,"{
  ""name"": ""Download Android Emulator"",
  ""run"": ""$ANDROID_HOME/tools/bin/sdkmanager \""system-images;android-29;google_apis;x86_64\""""
}"
