4130b9b | Artem Chepurnoy | Fri May 29 10:50:01 2020 +0300 | Make the bottom sheet the same width as the board
47ed129 | Artem Chepurnoy | Thu May 28 22:55:51 2020 +0300 | Temporarily disable .aab builds
2b32188 | Artem Chepurnoy | Thu May 28 22:46:06 2020 +0300 | Bump version to 1.3.9+26
24ac34a | Artem Chepurnoy | Thu May 28 22:45:33 2020 +0300 | Fix a typo in the build script
35e2cb5 | Artem Chepurnoy | Thu May 28 22:41:42 2020 +0300 | Update dependencies
f9c8eaa | Artem Chepurnoy | Thu May 28 22:00:19 2020 +0300 | Update flutter version to 1.19.x
bf445db | Artem Chepurnoy | Fri May 22 13:00:39 2020 +0300 | Fix a type in a build script
a0c9f8c | Artem Chepurnoy | Tue Mar 24 14:17:13 2020 +0200 | Update a link to online version
64a6206 | Artem Chepurnoy | Sat Mar 14 20:56:51 2020 +0200 | Build appbundle instead of apk
0fbaef6 | Artem Chepurnoy | Sat Mar 14 20:33:12 2020 +0200 | Add github token
24adc53 | Artem Chepurnoy | Sat Mar 14 20:22:58 2020 +0200 | Introduce automatic deploy on tag change
dab73de | Artem Chepurnoy | Sat Mar 14 13:50:02 2020 +0200 | Create flutter.yml
739e68d | Artem Chepurnoy | Tue Mar 10 20:11:41 2020 +0200 | Update README.md
dfec293 | Artem Chepurnoy | Tue Mar 10 20:11:00 2020 +0200 | Update README.md
da9d993 | Artem Chepurnoy | Tue Mar 10 20:09:52 2020 +0200 | Add missing web-badge
205f161 | Artem Chepurnoy | Tue Mar 10 20:09:01 2020 +0200 | Add web version to README
26a826d | Artem Chepurnoy | Tue Mar 10 11:23:30 2020 +0200 | Wrap native device orientation checker into web-friendly wrapper
da77415 | Artem Chepurnoy | Tue Mar 10 11:12:40 2020 +0200 | Replace platform check with a safe version everywhere
90b2d8d | Artem Chepurnoy | Tue Mar 10 10:25:48 2020 +0200 | Initial Web support
6802e17 | Artem Chepurnoy | Tue Mar 10 10:24:56 2020 +0200 | Change the background color of an Android's splash screen to a darker one
45c95f3 | Artem Chepurnoy | Tue Mar 10 10:21:18 2020 +0200 | Reverse physical navigation by arrow keys
00521b2 | Artem Chepurnoy | Tue Mar 10 10:18:43 2020 +0200 | Support physical keyboards
c6a99f9 | Artem Chepurnoy | Sat Mar 7 21:45:26 2020 +0200 | Bump version to 1.3.8+25
d56e8fe | Artem Chepurnoy | Sat Mar 7 21:45:07 2020 +0200 | Move the controls below of the stopwatch for landscape
557b458 | Artem Chepurnoy | Sat Mar 7 21:44:22 2020 +0200 | Fix jumping stopwatch #10
51e45db | Artem Chepurnoy | Sat Mar 7 21:22:11 2020 +0200 | Update dependencies
8eb8f70 | Artem Chepurnoy | Fri Jan 3 14:17:30 2020 +0200 | Bump version to 1.3.7+24
6afbccb | Artem Chepurnoy | Fri Jan 3 14:17:05 2020 +0200 | Add MacOS project for building for macos
b503758 | Artem Chepurnoy | Fri Jan 3 14:15:56 2020 +0200 | Better layout for puzzle size picker
638fc57 | Artem Chepurnoy | Fri Jan 3 13:50:08 2020 +0200 | Bump version to 1.3.6+23
95442ee | Artem Chepurnoy | Fri Jan 3 13:47:59 2020 +0200 | Make dark theme similar to material design's guidelines
8b03e55 | Artem Chepurnoy | Fri Jan 3 13:41:21 2020 +0200 | Fix landscape mode detection #9
a4ecf99 | Artem Chepurnoy | Fri Jan 3 13:25:31 2020 +0200 | Update dependencies
1dbcb7b | Artem Chepurnoy | Mon Sep 16 12:59:35 2019 +0300 | Use the ManRope font
472ade8 | Artem Chepurnoy | Mon Sep 16 12:51:22 2019 +0300 | Better custom window size support
54889ad | Artem Chepurnoy | Mon Sep 16 12:32:59 2019 +0300 | Add preview support for macos target platform
209fe36 | Artem Chepurnoy | Sat Sep 7 16:11:50 2019 +0300 | Downgrade Kotlin to 1.3.41
5a5edde | Artem Chepurnoy | Sat Sep 7 15:23:51 2019 +0300 | Update all dependencies
6ebdf1e | Artem Chepurnoy | Sat Sep 7 14:17:28 2019 +0300 | Update proguard-rules.pro
44aa883 | Artem Chepurnoy | Sat Sep 7 12:31:31 2019 +0300 | Update Play store's icon to match a new guidelines
9f4f795 | Artem Chepurnoy | Sat Aug 17 14:05:00 2019 +0300 | Bump version to 1.3.5+22
8d71205 | Artem Chepurnoy | Sat Aug 17 14:04:00 2019 +0300 | Animate changing the board's size
e38e12a | Artem Chepurnoy | Wed Aug 14 18:12:37 2019 +0300 | Fix stopwatch rendering if width != height
c49118d | Artem Chepurnoy | Thu Aug 1 22:10:55 2019 +0300 | Bump version to 1.3.4+21
51b3a82 | Artem Chepurnoy | Thu Aug 1 22:07:30 2019 +0300 | Support flings
069e88a | Artem Chepurnoy | Fri Jul 19 13:58:37 2019 +0300 | Fix compile errors
503d88c | Artem Chepurnoy | Fri Jul 19 13:33:05 2019 +0300 | Bump version to 1.3.3+20
75f4989 | Artem Chepurnoy | Fri Jul 19 13:32:23 2019 +0300 | Update dependencies for Android
79f6e18 | Artem Chepurnoy | Fri Jul 19 13:30:42 2019 +0300 | Bump version to 1.3.2+19
f87e934 | Artem Chepurnoy | Fri Jul 19 13:30:08 2019 +0300 | Limit the size of the board to 400.0
1ea5858 | Artem Chepurnoy | Fri Jul 19 13:23:53 2019 +0300 | Substring away the application name in donations
a556729 | Artem Chepurnoy | Fri Jul 19 13:17:41 2019 +0300 | Update all dependencies
a0cec4c | Artem Chepurnoy | Sat Jun 1 19:53:45 2019 +0300 | Add the design of screenshots config file
0b602dd | Artem Chepurnoy | Sun May 26 13:45:56 2019 +0300 | Minor tweaks to donate dialog's widgets
adf852c | Artem Chepurnoy | Sun May 26 13:38:26 2019 +0300 | Bump version to 1.3.1+18
c006a0c | Artem Chepurnoy | Sun May 26 13:36:58 2019 +0300 | Reformat code
873a63d | Artem Chepurnoy | Sun May 26 10:15:10 2019 +0300 | Add "Reset game" button
c698301 | Artem Chepurnoy | Thu May 9 12:49:02 2019 +0300 | Bump version to 1.3.0+17
f9f49ae | Artem Chepurnoy | Thu May 9 12:47:28 2019 +0300 | Add basic donate dialog
